Search Term,URL 1 (First Circular Shift),URL 2 (Second  Circular Shift),Circular Shifts Continued..,,
Youtube,https://www.youtube.com/ ,,,,
Amazon,https://www.amazon.com/ ,,,,
Facebook,https://www.facebook.com/ ,,,,
Weather today,https://weather.com/weather/today/l/Richardson+TX?canonicalCityId=8108425bac759ddff7eca2a0d6cf4a16c37d64f9ba0e6238ce3069c16645620d ,https://weather.com/weather/today/l/Richardson+TX?canonicalCityId=8108425bac759ddff7eca2a0d6cf4a16c37d64f9ba0e6238ce3069c16645620d ,,,
Weather tomorrow,https://weather.com/weather/today/l/Richardson+TX?canonicalCityId=8108425bac759ddff7eca2a0d6cf4a16c37d64f9ba0e6238ce3069c16645620d ,https://weather.com/weather/today/l/Richardson+TX?canonicalCityId=8108425bac759ddff7eca2a0d6cf4a16c37d64f9ba0e6238ce3069c16645620d ,,,
Word games,https://games.usatoday.com/category/word,https://www.merriam-webster.com/games,,,
Gmail,https://www.google.com/intl/en-US/gmail/about/ ,,,,
Google Maps,https://www.google.com/maps,https://www.google.com/maps,,,
Stores in Dallas,https://www.visitdallas.com/things-to-do/shopping/,https://www.visitdallas.com/things-to-do/shopping/,https://www.visitdallas.com/things-to-do/shopping/,,
Restaurants in Dallas,https://www.visitdallas.com/food-drink/ ,https://www.visitdallas.com/food-drink/ ,https://www.opentable.com/region/dallas/dallas-restaurants ,,
ChatGPT,https://openai.com/chatgpt/,,,,
Flights out of DFW today,https://www.dfwairport.com/flights/ ,https://www.dfwairport.com/flights/ ,https://www.dfwairport.com/flights/ ,https://www.dfwairport.com/flights/ ,https://www.dfwairport.com/flights/ 
English to Spanish,https://translate.google.com/?hl=en&sl=es&tl=en&op=translate ,https://translate.google.com/?hl=en&sl=es&tl=en&op=translate ,https://translate.google.com/?hl=en&sl=en&tl=es&op=translate,,
The Lion King,https://en.wikipedia.org/wiki/The_Lion_King,https://en.wikipedia.org/wiki/The_Lion_King,https://en.wikipedia.org/wiki/The_Lion_King,,
What is software architecture?,"https://www.sei.cmu.edu/our-work/software-architecture/#:~:text=A%20software%20architecture%20is%20an,%2C%20algorithms%2C%20and%20data%20representation. ","https://www.sei.cmu.edu/our-work/software-architecture/#:~:text=A%20software%20architecture%20is%20an,%2C%20algorithms%2C%20and%20data%20representation. ","https://www.castsoftware.com/glossary/what-is-software-architecture-tools-design-definition-explanation-best#:~:text=Software%20architecture%20is%2C%20simply%2C%20the,the%20software%20into%20the%20future.",https://martinfowler.com/architecture/,
Movies in theaters now,https://www.amctheatres.com/movies ,https://www.amctheatres.com/movies ,https://www.amctheatres.com/movies ,https://www.amctheatres.com/movies ,
Google Translate,https://translate.google.com/?sl=auto&tl=en&op=translate,https://translate.google.com/?sl=auto&tl=en&op=translate,,,
Football,https://www.nfl.com/ ,,,,
UTD academic calendar,https://www.utdallas.edu/academics/calendar/ ,https://www.utdallas.edu/academics/calendar/ ,https://www.utdallas.edu/academics/calendar/,,
UTD graduate program,https://graduate-admissions.utdallas.edu/find-your-program/graduate-degrees-offered/ ,https://graduate-admissions.utdallas.edu/find-your-program/graduate-degrees-offered/ ,https://graduate-admissions.utdallas.edu/find-your-program/graduate-degrees-offered/ ,,
Top news today,https://www.nbcnews.com/,https://www.cnn.com/,https://www.cnn.com/,,
Harry Potter,https://en.wikipedia.org/wiki/Harry_Potter,https://en.wikipedia.org/wiki/Harry_Potter,,,
